Timestamp,Gender,Height,Weight,DOB,Age,Sun_Sign,CGPA,Rate_Programming,PL,Sim_Course,Focus,DS_DA,Mean,Median,Sleep_time,sleep_duration,prefer_maths,Engg_Choice,course_instructor,physical_activity,0
08-06-2018 13:43,Female,169,58,12/25/1998,19,Capricorn,8.58,1,Python,Yes,Data,No,6,8,11:30:00 PM,7,Yes,Yes,Doesn't matter,Once in a week,
08-06-2018 13:43,Male,160,60,8/13/1999,18,Leo,9.15,4,C,No,Data,No,6,8,11:00:00 PM,7,Yes,Yes,Doesn't matter,On daily basis,
08-06-2018 13:43,Female,158,53,1/23/1999,19,Aquarius,7,1,C,No,Science,No,6,8,11:00:00 PM,6,No,Doesn't matter,Doesn't matter,On daily basis,
08-06-2018 13:43,Male,170,80,08-05-1998,20,Leo,8.25,3,C,No,Data,No,15,8,2:00:00 AM,5,Yes,Yes,Doesn't matter,Not so often,
08-06-2018 13:43,Female,156,50,3/31/2018,19,Aries,7.9,3,C,Yes,Data,No,6,8,11:00:00 PM,6,Yes,Yes,Doesn't matter,On daily basis,
08-06-2018 13:43,Male,158,84,11/30/1999,18,Leo,7.79,4,C,No,Data,No,6,9,8:00:00 PM,8,Yes,Yes,Doesn't matter,On daily basis,
08-06-2018 13:43,Male,175,80,1/28/1999,19,Aquarius,9.06,4,C++,No,Science,No,6,8,10:00:00 PM,8,Yes,Yes,Doesn't matter,Not so often,
08-06-2018 13:44,Female,150,43,10/13/2018,18,Gemini,6.5,3,C,No,Data,May be,6,8,12:00:00 AM,07-Aug,Yes,Not at all,Male,Not so often,
08-06-2018 13:44,Female,162,72,10/31/1999,19,Cancer,6.8,2,C,No,Data,May be,6,8,11:00:00 PM,6-7 hours,Yes,Yes,Female,On daily basis,
08-06-2018 13:44,Male,167.64,54,2/23/1998,20,Pisces,7.1,3,C,No,Science,May be,6,8,11:30:00 PM,7,Yes,Yes,Doesn't matter,On daily basis,
08-06-2018 13:44,Male,Lol ,Lol,08-06-2018,0,Sagittarius,0.000001,1,Lol,No,Data,May be,2.00E-10,0.00000001,1:59:00 AM,999,No,Doesn't matter,Female,On daily basis,
08-06-2018 13:44,Male,162,58,2/27/1999,19,Don't Know,7,4,C,Yes,Data,May be,6,6,11:00:00 PM,7,Yes,Yes,Doesn't matter,Once in a month,
08-06-2018 13:44,Male,161,66,4/13/1999,19,Aries,8.75,4,Java,No,Data,May be,6,9,12:00:00 AM,8,Yes,Yes,Doesn't matter,On daily basis,
08-06-2018 13:44,Male,188,65,7/22/1999,19,Don't Know,7.58,3,Python,No,Science,May be,10,9,11:00:00 PM,7,Yes,Yes,Doesn't matter,On daily basis,
08-06-2018 13:44,Male,175.26,58,12/28/1998,19,Capricorn,8.355,3,Python,No,Data,No,6,8,11:00:00 PM,7,Yes,Yes,Doesn't matter,On daily basis,
08-06-2018 13:45,Male,182.88,43,08-02-1997,21,Pisces,9.75,3,Python,Yes,Science,No,6,8,1:00:00 AM,7,Yes,Yes,Doesn't matter,Once in a week,
08-06-2018 13:45,Male,174,68,11/18/1999,18,Scorpio,8.17,3,C,Yes,Data,No,6,8,11:00:00 PM,7,Yes,Yes,Doesn't matter,Once in a month,
08-06-2018 13:45,Male,180,56,12/26/1999,19,Capricorn,6.8,3,C,No,Data,May be,6,9,10:30:00 PM,Around 8 hours,Yes,Yes,Female,Not so often,
08-06-2018 13:45,Male,160,65,10/28/1998,20,Leo,9.5,1,C,No,Data,No,15,8,12:00:00 AM,7,Yes,Doesn't matter,Doesn't matter,Once in a week,
08-06-2018 13:45,Male,180,60,07-11-2000,18,Cancer,8.75,3,Python,No,Data,May be,6,9,11:00:00 PM,8,Yes,Yes,Doesn't matter,Once in a week,
08-06-2018 13:45,Male,176,77,5/20/1999,19,Don't Know,5.2,3,C,No,Data,May be,6,8,12:00:00 PM,7,Yes,Yes,Doesn't matter,On daily basis,
08-06-2018 13:45,Male,176,78,11/26/1998,19,Sagittarius,8.8,3,C,No,Data,May be,6,9,11:00:00 PM,7,Yes,Yes,Doesn't matter,Once in a week,
08-06-2018 13:45,Male,155,50,02-01-2000,18,Sagittarius,8.9,4,C,No,Data,No,6,9,11:30:00 PM,7,Yes,Yes,Doesn't matter,Not so often,
08-06-2018 13:45,Male,149,51,4/14/1999,19,Pisces,8.92,3,Python,No,Data,May be,6,9,11:00:00 PM,7,Yes,Yes,Doesn't matter,Not so often,
08-06-2018 13:46,Male,172,65,9/15/1999,18,Virgo,7.17,2,C,No,Data,May be,6,8,11:00:00 PM,06-Jul,Yes,Yes,Doesn't matter,Once in a week,
08-06-2018 13:46,Male,180,78,06-10-1999,19,Gemini,7.9,3,C++,Yes,Data,May be,6,8,12:30:00 PM,7,Yes,Yes,Doesn't matter,Once in a week,
08-06-2018 13:46,Male,174,72,2/27/2000,18,Pisces,8.1,2,Python,Yes,Data,No,6,8,1:00:00 AM,5.5hrs,Yes,Not at all,Doesn't matter,On daily basis,
08-06-2018 13:49,Male,182.88,76,08-07-1998,19,Don't Know,8.46,4,C,No,Data,May be,,15,10:00:00 PM,8,Yes,Not at all,Doesn't matter,On daily basis,
08-06-2018 13:50,Male,ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,ðŸ˜‘ðŸ˜‘ðŸ˜‘ðŸ˜‘ðŸ˜‘,8/15/1947,71,Aries,33.34,5,C++,Yes,Science,No,6,8,12:00:00 AM,0,Yes,Not at all,Doesn't matter,On daily basis,
08-06-2018 13:51,Male,171,60,03-06-1999,19,Pisces,9.83,4,Python,No,Data,May be,6,8,11:00:00 PM,8,Yes,Yes,Doesn't matter,On daily basis,
08-06-2018 13:55,Male,160,60,8/13/1999,18,Leo,9.15,4,C,No,Data,No,6,8,11:00:00 PM,7,Yes,Yes,Doesn't matter,On daily basis,
08-06-2018 13:56,Male,172,56,07-05-1999,19,Pisces,7.88,3,C,No,Data,No,6,9,11:00:00 PM,7,Yes,Yes,Doesn't matter,Once in a week,
08-06-2018 13:58,Male,172,65,9/15/1999,18,Virgo,7.17,2,C,No,Data,May be,6,8,11:00:00 PM,06-Jul,Yes,Yes,Doesn't matter,Once in a week,
08-07-2018 10:53,Male,180,64,09-08-1999,18,Virgo,8.46,3,Python,No,Data,May be,6,9,1:00:00 AM,6,Yes,Yes,Doesn't matter,Not so often,
08-07-2018 10:53,Male,173,60,01-12-2000,18,Capricorn,9.17,5,Python,No,Data,May be,6,9,11:00:00 PM,7,Yes,Yes,Doesn't matter,Not so often,
08-07-2018 10:53,Male,184,68,9/24/1997,19,Capricorn,7.8,3,C,Yes,Science,No,6,8,12:00:00 PM,5,Yes,Yes,Female,On daily basis,
08-07-2018 10:53,Male,178,59,04-05-1999,19,Aries,9.29,4,C,No,Data,May be,6,8,11:30:00 AM,5,Yes,Doesn't matter,Doesn't matter,On daily basis,
08-07-2018 10:53,Male,186,85,01-12-2000,18,Pisces,9.17,4,Python,No,Data,May be,6,8,11:00:00 PM,07-Aug,Yes,Yes,Doesn't matter,Once in a month,
08-07-2018 10:54,Male,182,94,6/16/1999,19,Gemini,4,2,C,No,Data,May be,23.6,8,11:00:00 AM,6,No,Yes,Doesn't matter,Never,
08-07-2018 10:54,Male,170,56,10/14/1999,18,Scorpio,8.15,3,C,No,Data,May be,6,5.5,11:00:00 PM,6,Yes,Doesn't matter,Doesn't matter,Not so often,
08-07-2018 10:54,Male,175,62,8/25/1999,18,Virgo,8.83,4,C,No,Data,No,15,8,11:00:00 PM,7,Yes,Yes,Doesn't matter,Not so often,
08-07-2018 10:54,Male,160,60,08-08-1999,18,Gemini,7.46,1,C,No,Data,May be,6,9,11:00:00 PM,7,Yes,Doesn't matter,Doesn't matter,On daily basis,
08-07-2018 10:54,Male,160,60,08-08-1999,18,Gemini,7.46,1,C,No,Data,May be,6,9,11:00:00 PM,7,Yes,Doesn't matter,Doesn't matter,On daily basis,
08-07-2018 10:54,Female,164.95 cm,,9/29/2018,18,Libra,3.5,1,C,No,Data,May be,4,9,10:30:00 PM,8,Yes,Not at all,Doesn't matter,Once in a week,
08-07-2018 10:54,Female,168,,8/26/1999,19,Aries,8.52,2,Java,No,Data,No,7.5,8,11:00:00 PM,8,Yes,Yes,Doesn't matter,Once in a month,
08-07-2018 10:55,Male,178,57,1/30/1999,19,Aquarius,7.8,3,Python,No,Data,May be,6,8,12:00:00 AM,7,Yes,Yes,Doesn't matter,Once in a week,
08-07-2018 10:55,Male,164,54,11/18/1998,19,Libra,7,3,Python,No,Data,May be,6,8,12:00:00 PM,7,Yes,Yes,Doesn't matter,Once in a week,
08-07-2018 10:55,Female,165cm,50kg,11/13/1999,18,Scorpio,9.17,4,C,No,Science,No,15,9,10:00:00 PM,7,Yes,Yes,Doesn't matter,Not so often,
08-07-2018 10:55,Male,184,,6/19/1999,19,Gemini,8.5,2,C,No,Data,No,6,8,11:00:00 PM,8,Yes,Yes,Doesn't matter,On daily basis,
08-07-2018 10:55,Female,158 cm,48,07-09-1999,18,Virgo,9.25,3,C,No,Data,May be,6,8,10:30:00 PM,8,Yes,Yes,Doesn't matter,On daily basis,
08-07-2018 10:56,Male,172,63,3/31/1999,19,Aries,6.5,3,Python,Yes,Data,No,6,8,12:30:00 AM,7,Yes,Yes,Doesn't matter,On daily basis,
08-07-2018 10:56,Male,170,65,10/28/1999,18,Scorpio,9,4,Python,No,Data,May be,6,8,11:30:00 PM,6,Yes,Yes,Doesn't matter,Not so often,
08-07-2018 10:57,Female,150,59,04-10-2018,19,Capricorn,8.3,3,C,Yes,Data,May be,6,9,10:00:00 PM,5,Yes,Yes,Doesn't matter,On daily basis,
08-07-2018 10:57,Female,163,65,06-06-2018,19,Gemini,9.355,3,Python,Yes,Data,May be,6,8,12:00:00 AM,6,Yes,Yes,Doesn't matter,Once in a week,
08-07-2018 10:57,Female,164,49,3/29/1999,19,Leo,9.63,3,C,Yes,Data,May be,6,8,11:00:00 PM,7,Yes,Yes,Doesn't matter,Once in a week,
08-07-2018 10:57,Male,167,50,8/23/1999,18,Virgo,9.625,4,C,No,Data,No,6,8,12:30:00 AM,6,Yes,Yes,Doesn't matter,Once in a month,
08-07-2018 10:57,Female,162,45,6/27/2000,18,Aries,9,2,C,No,Data,May be,6,9,11:00:00 PM,7,Yes,Yes,Doesn't matter,Once in a week,
08-07-2018 10:57,Male,182,77,6/15/1999,19,Gemini,8.92,4,C,No,Data,Yes,6,9,2:00:00 AM,6,Yes,Yes,Female,Not so often,
08-07-2018 10:57,Male,168,55,4/13/1997,21,Aries,7,4,Python,Yes,Data,May be,6,8,1:00:00 AM,7,Yes,Yes,Doesn't matter,On daily basis,
08-07-2018 10:57,Male,170,53,2/18/1999,19,Aquarius,7.2,2,C,No,Data,May be,8,8,12:30:00 AM,6,No,Yes,Doesn't matter,Once in a week,
08-07-2018 10:58,Female,152,51,12/29/1999,19,Capricorn,8,3,C++,No,Data,No,6,9,11:00:00 PM,7,No,Yes,Doesn't matter,Once in a week,
08-07-2018 10:58,Male,183,79,2/25/1998,20,Pisces,8.2,1,Python,No,Data,May be,6,5.5,11:00:00 AM,06-Jul,Yes,Yes,Doesn't matter,On daily basis,
08-07-2018 10:58,Female,158,60,11/29/1999,18,Sagittarius,7.2,3,C++,No,Science,No,6,8,12:30:00 AM,6 hours,Yes,Not at all,Doesn't matter,Not so often,
08-07-2018 10:58,Female,164,47,07-09-1999,19,Aries,6.67,2,C,No,Science,May be,6,8,11:00:00 AM,6,Yes,Not at all,Doesn't matter,On daily basis,
08-07-2018 10:58,Female,158,52,12/28/1999,18,Capricorn,9.1,3,C,No,Data,No,6,9,11:30:00 PM,5 and a 1/2,Yes,Yes,Doesn't matter,Not so often,
08-07-2018 10:58,Male,167.85,50,08-04-2000,18,Virgo,7,2,C,No,Science,May be,6,5,1:00:00 AM,6,Yes,Yes,Doesn't matter,On daily basis,
08-07-2018 10:58,Male,180,70,12/23/1999,18,Capricorn,7.88,3,C,Yes,Data,May be,6,8,11:00:00 PM,7,Yes,Yes,Doesn't matter,On daily basis,
08-07-2018 10:58,Female,170,53,09-10-1999,18,Virgo,7.75,3,C++,No,Data,May be,6,8,11:30:00 AM,6,Yes,Not at all,Doesn't matter,Once in a month,
08-07-2018 10:58,Male,178,68,6/29/1999,19,Cancer,8,3,C,Yes,Data,May be,6,8,11:30:00 PM,7,Yes,Yes,Doesn't matter,Once in a week,
08-07-2018 10:58,Male,182,72,01-03-2000,18,Capricorn,7.75,3,C,No,Data,May be,15,8,11:00:00 PM,7,Yes,Yes,Doesn't matter,Not so often,
08-07-2018 10:58,Male,167.6,50,12/14/1999,18,Sagittarius,9.325,3,C,No,Data,May be,6,9,11:30:00 PM,6,Yes,Yes,Doesn't matter,On daily basis,
08-07-2018 10:59,Male,175,82,1/18/2000,18,Taurus,8.67,3,C,No,Data,May be,8,9,10:30:00 PM,7,Yes,Yes,Doesn't matter,Once in a week,
08-07-2018 10:59,Female,160,56,3/15/2000,18,Pisces,8.2,3,C,No,Data,May be,5.6,8,11:45:00 PM,7,Yes,Yes,Doesn't matter,Once in a week,
08-07-2018 10:59,Male,178,53,10/23/1999,18,Scorpio,8.4,4,Python,Yes,Data,May be,6,8,10:30:00 PM,8,Yes,Yes,Doesn't matter,On daily basis,
08-07-2018 10:59,Male,178,53,10/23/1999,18,Scorpio,8.4,4,Python,Yes,Data,May be,6,8,10:30:00 PM,8,Yes,Yes,Doesn't matter,On daily basis,
08-07-2018 10:59,Male,175,68,09-02-1998,19,Leo,7,2,Python,No,Data,May be,6,8,2:00:00 AM,4,No,Yes,Doesn't matter,On daily basis,
08-07-2018 11:00,Male,181,63,6/24/2000,18,Leo,7.73,3,Python,No,Data,May be,6,8,10:30:00 AM,8 hours,Yes,Yes,Female,Once in a week,
08-07-2018 11:00,Female,153,54,04-01-1999,19,Virgo,7,2,C,No,Science,May be,6,9,11:00:00 PM,8,Yes,Not at all,Doesn't matter,On daily basis,
08-07-2018 11:00,Male,183,61.5,12/30/2018,18,Capricorn,8.7,4,Python,Yes,Data,No,6,8,11:30:00 PM,7,No,Doesn't matter,Doesn't matter,On daily basis,
08-07-2018 11:00,Male,162,48,5/20/1998,20,Taurus,8.58,4,Python,Yes,Data,May be,6,8,1:00:00 AM,7,Yes,Yes,Doesn't matter,Once in a week,
08-07-2018 11:01,Male,175,65,7/30/1999,19,Leo,8.5,4,C,No,Data,May be,4,8,10:00:00 PM,7,Yes,Yes,Male,On daily basis,
08-07-2018 11:01,Male,183,56,08-06-1999,18,Virgo,8.96,3,C,No,Science,May be,,9,10:00:00 PM,10,Yes,Yes,Doesn't matter,Not so often,
08-07-2018 11:01,Male,185.6,82,02-09-2000,18,Pisces,7,3,Python,No,Data,May be,6,5,12:00:00 AM,7,Yes,Yes,Doesn't matter,On daily basis,
08-07-2018 11:01,Female,167,50,10/28/1999,19,Taurus,7.3,4,C,No,Data,No,6,8,11:00:00 AM,7,Yes,Yes,Doesn't matter,On daily basis,
08-07-2018 11:02,Male,176,69,10-10-1998,19,Libra,8.83,4,Java,No,Data,No,6,8,11:30:00 PM,8,Yes,Yes,Doesn't matter,Once in a week,
08-07-2018 11:02,Female,165cm,45,3/27/2018,19,Cancer,8.41,3,Python,No,Science,Yes,6,8,12:00:00 AM,7,Yes,Yes,Doesn't matter,On daily basis,
08-07-2018 11:03,Male,175,60,5/19/1999,19,Taurus,6.4,2,C,Yes,Science,May be,6,5,11:00:00 PM,7,Yes,Yes,Male,On daily basis,
08-07-2018 11:04,Male,170,69,7/23/1999,19,Leo,7.58,3,C,No,Data,Yes,6,5.5,11:00:00 PM,7,Yes,Yes,Doesn't matter,On daily basis,
08-07-2018 11:04,Male,165,55,7/21/1999,19,Libra,9.82,4,Python,No,Science,Yes,6,8,10:30:00 PM,8,Yes,Yes,Female,Not so often,
08-07-2018 11:05,Male,5.9,65,5/16/1999,19,Taurus,8,4,C,No,Data,May be,,8,11:30:00 PM,7,Yes,Doesn't matter,Doesn't matter,Not so often,
08-07-2018 18:23,Male,170,50,09-07-1999,19,Capricorn,9.22,4,C,No,Science,No,6,8,11:00:00 PM,7,Yes,Yes,Doesn't matter,Once in a week,
8/13/2018 18:36:34,Male,185,114,12/30/1998,19,Capricorn,8.05,4,Python,No,Science,No,6,9,12:30:00 PM,6,No,Yes,Female,Not so often,
,,28246.486,10504.2,,13700003405,,1503.135001,570,,,,,1234570160,987656770,8:00:00 PM,110,,,,,0
